Designator,Mid X,Mid Y,Rotation,Layer
GT33,309.86,-111.5025,0.0,top
GT34,328.91,-111.5025,0.0,top
GT35,347.96,-111.5025,0.0,top
GT36,367.01,-111.5025,0.0,top
GT37,386.06,-111.5025,0.0,top
GT38,405.11,-111.5025,0.0,top
GT39,424.16,-111.5025,0.0,top
GT4,128.885,-92.4525,0.0,top
GT40,443.21,-111.5025,0.0,top
GT41,462.26,-111.5025,0.0,top
GT42,71.735,-130.5525,0.0,top
GT43,90.785,-130.5525,0.0,top
GT44,109.835,-130.5525,0.0,top
GT45,128.885,-130.5525,0.0,top
GT46,152.6975,-130.5525,0.0,top
GT47,171.7475,-130.5525,0.0,top
GT48,190.7975,-130.5525,0.0,top
GT49,214.61,-130.5525,0.0,top
GT5,152.6975,-92.4525,0.0,top
GT50,233.66,-130.5525,0.0,top
GT51,252.71,-130.5525,0.0,top
GT52,271.76,-130.5525,0.0,top
GT53,290.81,-130.5525,0.0,top
GT54,309.86,-130.5525,0.0,top
GT55,328.91,-130.5525,0.0,top
GT56,347.96,-130.5525,0.0,top
GT57,367.01,-130.5525,0.0,top
GT58,386.06,-130.5525,0.0,top
GT59,405.11,-130.5525,0.0,top
GT6,171.7475,-92.4525,0.0,top
GT60,424.16,-130.5525,0.0,top
GT61,443.21,-130.5525,0.0,top
GT62,462.26,-130.5525,0.0,top
GT63,71.735,-149.6025,0.0,top
GT64,90.785,-149.6025,0.0,top
GT65,109.835,-149.6025,0.0,top
GT66,214.61,-149.6025,0.0,top
GT67,233.66,-149.6025,0.0,top
GT68,252.71,-149.6025,0.0,top
GT69,271.76,-149.6025,0.0,top
GT7,190.7975,-92.4525,0.0,top
GT70,290.81,-149.6025,0.0,top
GT71,309.86,-149.6025,0.0,top
GT72,328.91,-149.6025,0.0,top
GT73,347.96,-149.6025,0.0,top
GT74,367.01,-149.6025,0.0,top
GT75,386.06,-149.6025,0.0,top
GT76,405.11,-149.6025,0.0,top
GT77,424.16,-149.6025,0.0,top
GT78,443.21,-149.6025,0.0,top
GT79,71.735,-168.6525,0.0,top
GT8,214.61,-92.4525,0.0,top
GT80,90.785,-168.6525,0.0,top
GT81,109.835,-168.6525,0.0,top
GT82,128.885,-168.6525,0.0,top
GT83,171.7475,-168.6525,0.0,top
GT84,214.61,-168.6525,0.0,top
GT85,233.66,-168.6525,0.0,top
GT86,252.71,-168.6525,0.0,top
GT87,271.76,-168.6525,0.0,top
GT88,290.81,-168.6525,0.0,top
GT89,309.86,-168.6525,0.0,top
GT9,233.66,-92.4525,0.0,top
GT90,328.91,-168.6525,0.0,top
GT91,347.96,-168.6525,0.0,top
GT92,367.01,-168.6525,0.0,top
GT93,386.06,-168.6525,0.0,top
GT94,405.11,-168.6525,0.0,top
